ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,50_50,bad_behaviour_card,ball_recovery_offensive,block_deflection,injury_stoppage_in_chain,pass_no_touch,block_offensive,clearance_other,pass_miscommunication,shot_open_goal,shot_redirect,dribble_no_touch,pass_goal_assist,pass_straight,shot_deflected,goalkeeper_lost_out,goalkeeper_shot_saved_off_target,shot_saved_off_target,block_save_block,goalkeeper_shot_saved_to_post,goalkeeper_success_in_play,shot_saved_to_post,x,y,end_x,end_y,time_seconds,x_norm,y_norm,end_x_norm,end_y_norm,player_id_code,receiver_id_code,match_id_ev,event_idx,dangerous_label
,,,,,,,,-0.12812092121528468,,,,,,0.347797,,,,,,,,,,,,,,,,41f6e327-1b28-49bd-ab0d-6711615864c9,5,,"[61.0, 40.1]",3753982,0,,,,,1.3593688141719042,,0.8468897111248405,,,,"[60.7, 42.1]",-1.349862336404237,,-1.1193531113026947,,,N''Golo Kanté,3961.0,,,,,0.16439091583873472,1,0.12126542720242332,Shinji Okazaki,3810.0,Right Center Forward,2,Leicester City,22,['e7f76751-1d85-42d7-8c96-1f2ece19f28b'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.606,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,61.0,40.1,60.7,42.1,-1.6884008479232413,0.3068348957931998,-0.04162893707399032,-0.27273301626826996,0.03575773146048168,20,15,3753982,4,0
,,,,,,,,-0.12812092121528468,,,,,,0.725062,,,,,,,,,,,,,,,,f4985c0b-fb20-4fa1-98aa-3163a9bd53c6,26,,"[17.4, 54.9]",3753982,0,,,,,-2.1066718478596753,,-1.5101496143358806,,,,"[13.1, 53.4]",1.492146363702882,,-1.0114835369678958,,,Kasper Schmeichel,3815.0,,,,,0.7206250966438964,1,1.192924121642107,Robert Huth,40123.0,Left Center Back,4,Leicester City,22,"['33dd908c-f5cd-4880-8946-cfba109cf415', 'b760d675-93d8-44a1-a022-d40a0548c404']",32,,,,,,,,,,,,,,,,,Leicester City,22,00:00:32.047,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,17.4,54.9,13.1,53.4,-1.668851950531695,-1.082201676397509,0.6238531129137609,-1.96111277524096,0.543789360602239,19,12,3753982,26,0
,,,,,,,,-0.12812092121528468,,,,,,1.371841,,,,,,,,,,,,,,,,ea5845da-1ab2-487f-a33f-f81e73818df0,90,,"[82.2, 75.6]",3753982,2,,,,,-0.6947789630404816,,-0.5673338841515921,,,,"[104.0, 44.3]",0.07114201364932234,,0.41965515632005496,Incomplete,,,,,,,,-1.5043116265767502,1,-0.9503932672372604,Riyad Mahrez,3814.0,Right Midfield,7,Leicester City,22,['05cb7114-8f61-4b86-90b9-3ac0aabe0e61'],24,,,,,,,,,,,,,,,,,Leicester City,22,00:02:24.382,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,82.2,75.6,104.0,44.3,-1.600430809661283,0.982237999702444,1.5546286828290612,1.2631250417888198,0.13466654421374408,18,23,3753982,90,0
,,,,,,,,-0.12812092121528468,,,,,,1.063884,,,,,,,,,,,,,,,,59a5cc71-6ded-4dc4-ad3e-7121c8c81f62,101,,"[120.0, 80.0]",3753982,2,,,,,-1.3163753835571301,,0.8468897111248405,,,,"[114.6, 53.8]",0.07114201364932234,,-0.06575771369744897,,True,Shinji Okazaki,3810.0,,,Outswinging,,-2.060545807381912,1,-1.664832396863716,Danny Simpson,3270.0,Right Back,8,Leicester City,22,['8f739520-afd1-4b6b-8ea9-ffcf6dd2a472'],57,,,,,,,,,,,,,,,,,Leicester City,22,00:02:57.299,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,120.0,80.0,114.6,53.8,-1.5802710092262509,2.1864944774274164,1.7524746976902845,1.6391087696272755,0.5617727811028322,5,20,3753982,101,1
,,,,,,,,-0.12812092121528468,,,,,,1.758561,,,,,,,,,,,,,,,,0eef4701-8e07-4626-8715-dc9ac5024bca,136,,"[56.0, 68.1]",3753982,4,,,,,1.1115630975697532,,0.8468897111248405,,,,"[58.1, 80.0]",0.07114201364932234,,-0.69066462274699,Out,,Riyad Mahrez,3814.0,,,,,0.7206250966438964,1,0.4784849920156512,Danny Drinkwater,3662.0,Right Defensive Midfield,12,Southampton,25,"['19eefde6-7768-45b4-950e-152bb3b2d61a', 'a89918b9-71f7-485c-80cd-d6e32277ccf4']",7,,,,,,,,,,,,,,,,,Leicester City,22,00:04:07.914,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,56.0,68.1,58.1,80.0,-1.5375077961822432,0.14754171090894427,1.2173911574974305,-0.36495544007770264,1.7396868238916858,4,18,3753982,136,0
,,,,,,,,-0.12812092121528468,,,,,,1.130934,,,,,,,,,,,,,,,,55e28c00-cbf0-43db-8ccb-2f0f75a18e82,141,,"[63.3, 59.0]",3753982,4,,,,,-1.2437885468510712,,-0.5673338841515921,,,,"[62.2, 48.9]",-1.349862336404237,,-0.7726465036500537,,,Marc Albrighton,3307.0,,,,,-0.39184326496642696,1,1.192924121642107,Jamie Vardy,10960.0,Left Center Forward,14,Leicester City,22,"['15be4f96-910a-43c4-b303-76f217ca648f', '912b8219-a060-462a-9dd6-a7f19a4a5e27', 'eb6702f7-32a5-468e-8267-6ce845a6494e']",24,,,,,,,,,,,,,,,,,Leicester City,22,00:04:24.982,Pass,3.4972516682059407,,,,,,,,,,,,,,,,,,,,,,,63.3,59.0,62.2,48.9,-1.5271224444429843,0.38010976083995734,0.808209626761719,-0.21952777176282826,0.34147587997056567,8,13,3753982,141,0
,,,,,,,,-0.12812092121528468,,,,,,3.128511,,,,,,,,,,,,,,,,a5511482-1703-49c2-9706-fa2942e405c1,193,,"[29.8, 66.2]",3753982,5,,,,,-2.039561193631666,,-1.5101496143358806,,,,"[9.6, 57.1]",0.07114201364932234,,-0.2615601814947054,,,Kasper Schmeichel,3815.0,,,,,0.7206250966438964,1,0.4784849920156512,Danny Simpson,3270.0,Right Back,15,Leicester City,22,"['3cc3ba6d-5941-4f18-bcdc-28daf85e3157', 'e89c4c8c-2bb0-4e5f-95c5-43ea823b887c']",48,,,,,,,,,,,,,,,,,Leicester City,22,00:05:48.490,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,29.8,66.2,9.6,57.1,-1.475806588790175,-0.6871545778845551,1.1319576510800844,-2.0852583457536578,0.710136000232726,5,12,3753982,193,0
,,,,,,,,-0.12812092121528468,,,,,,0.161554,,,,,,,,,,,,,,,,83fc192b-45c4-431e-90ef-0ce4cd68cf0d,225,,"[64.4, 70.9]",3753982,6,,,,,1.6540885819821955,,0.8468897111248405,,,,"[63.1, 73.1]",-1.349862336404237,,-1.096643179609247,Incomplete,,N''Golo Kanté,3961.0,,,,,0.7206250966438964,1,1.192924121642107,Shinji Okazaki,3810.0,Right Center Forward,17,Leicester City,22,"['20ebd703-54b8-4c65-97f2-95e075049003', '4dc50295-5bd3-4757-8ebf-b344a74d5f21']",12,,,,,,,,,,,,,,,,,Leicester City,22,00:06:12.910,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,64.4,70.9,63.1,73.1,-1.4611449157465153,0.41515426151449397,1.3432931669545731,-0.18760462505956285,1.4294728202564533,20,15,3753982,225,0
,,,,,,,,-0.12812092121528468,,,,,,1.31316,,,,,,,,,,,,,,,,84109052-e45a-4b1c-ba44-3f7c0dd247cc,288,,"[54.9, 23.3]",3753982,8,,,,,0.17368335917487554,,-1.5101496143358806,,,,"[67.6, 25.5]",0.07114201364932234,,-0.6563546623818292,Incomplete,,Marc Albrighton,3307.0,,,,,0.7206250966438964,1,1.192924121642107,Christian Fuchs,3812.0,Left Back,20,Southampton,25,"['3133ac4c-217c-42cd-836c-2f096a1be623', 'dc0ee480-ed7d-4bf5-a75c-c58db7ec4323', 'dc4ac0ee-882f-49ab-96a4-32da56703217']",1,,,,,,,,,,,,,,,,,Leicester City,22,00:08:01.572,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,54.9,23.3,67.6,25.5,-1.3945564840065607,0.11249721023440787,-0.7970409938168427,-0.027988891543237703,-0.7105542193141355,2,13,3753982,288,0
,,,,,,,,-0.12812092121528468,,,,,,3.821738,,,,,,,,,,,,,,,,066b24e1-62d1-425e-af32-dd9ab39b9dc8,339,,"[39.9, 42.1]",3753982,9,,,,,-0.25129405022201945,,0.8468897111248405,,,,"[88.0, 22.7]",0.07114201364932234,,1.004279388177977,Incomplete,,Christian Fuchs,3812.0,,,,,-1.5043116265767502,1,-0.9503932672372604,Kasper Schmeichel,3815.0,Goalkeeper,21,Leicester City,22,"['29a28f79-5e4c-47f9-969c-b084d20aa915', '689d4904-06cc-47b3-8386-efb65692ff26']",12,,,,,,,,,,,,,,,,,Leicester City,22,00:09:12.386,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,39.9,42.1,88.0,22.7,-1.3511823679190673,-0.36538234441835904,0.04830106968111125,0.6956024337307724,-0.8364381628182878,12,2,3753982,339,0
